name,lat,lon,address,phone,shop_url,images,event_title,date,price,quota,score,event_summary,event_description
,,,,,,,【稀少なバックヴィンテージ入荷！】キャンティ・クラシコ・ヴィニェート・ラ・カズッチャ,1/4/2016,2495,88,39,"キャンティ・クラシコの名門が造る、単一畑キュヴェ。
サンジョヴェーゼとメルロをブレンドした秀逸なバランスを誇るキャンティ・クラシコ。","ブルーベリーやブラックチェリーの黒系果実の濃厚な香りに、バラの花や甘草、トーストのようなニュアンスにほのかにヴァニラ香が溶け合います。エレガントさと複雑性の調和が素晴らしく、非常に上品で濃厚な舌触り。果実味と酸のバランスが完璧で、そのまま長い余韻にまで完璧なバランスが続いていきます。
しっかりとした骨格ながら、驚くべき柔らかさのタンニンが感じられる力強さとエレガントさを兼ね備えたスタイルの1本です。"
,,,,,,,ブナハーブン 1968,1/25/2016,4856,31,41,サマローリ（Samaroli）は1968年、イタリアに創業したスコットランド国外初のインディペンデントボトラーで、数多くの伝説的なボトリングを排出し、多くの熱狂的なファンを持っています。,"サマローリ（Samaroli）は1968年、イタリアに創業したスコットランド国外初のインディペンデントボトラーで、数多くの伝説的なボトリングを排出し、多くの熱狂的なファンを持っています。2013年、創業45周年を祝うパーティーが盛大に行われましたが、それに合わせて極めて特別なウイスキーがボトリングされました。
ブナハーブン1968 (45th　ANNIVERSARY)は、サマローリ創業の1968年蒸溜で、アウトターンはわずか112本。消えゆく1960年代シングルモルトで、どうぞサマローリ45周年を盛大にお祝いしてください。"
,,,,,,,カティーサーク 25年 タムオシャンター,12/25/2015,4496,37,95,"25年熟成の特別限定品。マスターブレンダー、クリスティーン・キャンベルが特別に選んだウィスキーを5,000本のみボトリング。","25年熟成の特別限定品。マスターブレンダー、クリスティーン・キャンベルが特別に選んだウィスキーを5,000本のみボトリング。日本での発売は100本。限定ボトルにイラスト本が付き、木製ギフトボックスに入っている。
色はリッチなダークカラー。　香りはジャスミンやアニス。後からリッチなバニラやスモーキーな香り。　味わい：フルボディ。ダークチョコレートやユーカリ、砕いた黒こしょうのスパイシーな味わい。フィニッシュ：甘くリッチな後味にスパイシーさを感じる。
タム・オシャンターとは、18世紀に活躍したスコットランドの国民的詩人ロバート・バーンズの作品。　その中に出てくる短いシュミーズ（ゲール語でカティサーク）をまとった風よりも速く走る魔女がカティサークの語源。"
,,,,,,,【本日入荷】津軽海峡の天然本マグロ,3/1/2016,4715,86,9,"今回は津軽海峡１５０キロ延縄です。
ハラカミ一番（大トロが一番多い部位）で身質も良いです。","世間で騒がれているマグロです。漁法が一本釣りと言う事で“やけ”も多いですが、脂のノリと質ともに最高の部類にはいります。
まさしくとろけるように見えるけれど、しかしそんなに強いと感じないじわっと口に広がる上品な甘みと渋みのある大トロ、舌にねっとりからみつき、あと口のいいほのかな旨みがある赤身。とにかく大とろも中とろも赤身も「あまみ」があり「美味しい」と言うことです。"
,,,,,,,飛騨牛リブロース入荷,3/14/2016,4925,87,82,"霜降り肉なら、リブロース、三角カルビ、ザブトン、トモ三角、イチボ
赤身肉なら、ランプ、シンシン、カメノコです。","霜降り肉、赤身肉共に、この中のどれかを常に在庫しておくようにしています。いつも同じお肉より、いつも違うお肉の方がお客様も楽しいかなという思いからです。そしてこの様に部位に拘らない方が最高のモノを揃え易いのです。
ちなみに、今回のリブロースのBMSは11番です。霜降りも見事ですが、霜降りよりも脂の質が際立った最高のお肉です。脂の質に限れば、今年入荷した福島チャンピオン牛より上でしょう！
今晩試食予定です。楽しみ！"
,,,,,,,【明日入荷】鹿児島県産霧島黒豚,12/2/2015,4080,44,25,"霧島山麓のふもと、大自然の中で愛情豊かに肥育された霧島黒豚は、きめ細かい肉質と良質の脂肪が特徴で、旨みと甘みがある美味しい黒豚に仕上がっています
コクが違う、霧島黒豚の独特のコクと旨みと是非ご賞味ください","かごしま黒豚のルーツは非常に古く、約400年前の1609年に第18代藩主島津家久により琉球から移入されたと言われています。一説によりますと、その昔、遥か中国大陸から大海原を渡って琉球へと渡ったようです。
そして道の島と言われている奄美大島方面では100年も前から貴重な蛋白源として飼育され、島つたいに薩摩へ渡り、その後かごしまの風土と密着して長年に亘り県内で生産されています。
現在のかごしま黒豚は、明治の初期英国から導入したバークシャー種と在来の黒豚を、昭和から平成にかけて黒豚本来の良さを残しながら更に改良を重ねて作り上げられたものです。"
,,,,,,,本日､『のどぐろ』入荷,12/15/2015,2640,85,64,"本日、『のどぐろ』入荷しました!!
のどぐろ姿造り、どぐろ姿煮付けでご賞味ください。","浜田の最高級干物、地元漁師の誇り「のどぐろ」。
のどぐろの産地は全国に多数ありますが、 浜田産ののどぐろの抜群の脂の乗りと上品でコクのある甘みは国内最高峰の品質です。白身魚でありながらもトロにも匹敵する濃厚な脂の乗り、 白く柔らかいその身は上品にして強い甘みがあり正に「美味濃醇」。
地元漁師が自信と誇りをもって薦める品質の良いのどぐろを、干物を作り続けて８０年の伝統の製法で仕上げた浜田でも最高品質の「のどぐろ一夜干し」をご賞味ください。"
,,,,,,,,1/2/2016,1834,76,45,,
,,,,,,,,11/22/2015,1066,89,5,,
,,,,,,,,12/8/2015,3252,84,41,,
,,,,,,,,3/15/2016,3102,55,27,,
,,,,,,,,1/22/2016,1327,48,41,,
,,,,,,,,2/16/2016,4802,79,84,,
,,,,,,,,2/4/2016,1979,42,93,,
,,,,,,,,2/18/2016,1056,100,13,,
,,,,,,,,3/6/2016,2438,58,70,,
,,,,,,,,1/6/2016,4112,41,57,,
,,,,,,,,2/13/2016,1072,90,45,,
,,,,,,,,2/23/2016,3085,37,3,,
,,,,,,,,1/29/2016,2619,46,49,,
